Month,Year,Rainfall ,WPI
4,2012,47.5,104.2
5,2012,31.7,104.2
6,2012,117.8,107
7,2012,250.2,111
8,2012,262.4,114
9,2012,193.5,116.1
10,2012,58.7,116.6
11,2012,30.7,116.3
12,2012,11.7,115.9
1,2013,11.3,116.7
2,2013,40.1,117.9
3,2013,15.7,118.7
4,2013,30.4,120.4
5,2013,57.8,121.9
6,2013,219.8,124.9
7,2013,310,129.4
8,2013,254.7,132
9,2013,152.7,131.3
10,2013,129.4,131
11,2013,14,131.3
12,2013,6.7,130.6
1,2014,19.2,131.1
2,2014,27.4,132.3
3,2014,36.1,132.6
4,2014,22.2,133.7
5,2014,72.9,136
6,2014,95.4,137.2
7,2014,261.2,139.6
8,2014,237.5,140.5
9,2014,188,140.5
10,2014,60.2,140
11,2014,14.4,138
12,2014,10.7,134.6
1,2015,17.4,133.5
2,2015,21,134.1
3,2015,62,132
4,2015,69.4,132.6
5,2015,53.8,134.2
6,2015,192.8,133.6
7,2015,242.4,133.4
8,2015,205.2,133.9
9,2015,131.8,135.2
10,2015,42.9,135.8
11,2015,39.4,135.6
12,2015,15,135.4
1,2016,19.3,135.8
2,2016,22.8,135.3
3,2016,27.6,135.2
4,2016,37.4,136.3
5,2016,62.6,139.1
6,2016,168.3,142.2
7,2016,289.1,144.2
8,2016,256.3,144.6
9,2016,171.9,144.7
10,2016,76.1,145.1
11,2016,29.7,145
12,2016,14.9,144.2
1,2017,19,143.8
2,2017,22.6,146.4
3,2017,27.8,147.7
4,2017,37.9,147.6
5,2017,62.4,148
6,2017,168.1,148.4
7,2017,289.3,149.1
8,2017,256.2,148.5
9,2017,171.5,148.8
10,2017,76.3,149.6
11,2017,29.9,149.2
12,2017,15,148.8
1,2018,19.2,150.4
2,2018,20.1,151.4
3,2018,27.1,152.6
4,2018,40.2,153.3
5,2018,62.7,154.2
6,2018,165,153.9
7,2018,286.3,155
8,2018,254.3,155.6
9,2018,171.9,155.7
10,2018,77.2,155.7
11,2018,28.1,155.5
12,2018,14.1,154.7
1,2019,18.5,155.8
2,2019,33.1,156.5
3,2019,18.7,156.6
4,2019,31.5,157.0
5,2019,51.3,157.6
6,2019,113.5,158.4
7,2019,298.5,159.9
8,2019,299.9,160.8
9,2019,259.5,161.9
10,2019,110.1,162.7
11,2019,31.6,162.1
12,2019,19.2,162.0
1,2020,28.3,162.3
2,2020,12.1,162.3
3,2020,44.7,159.3
4,2020,42.7,162.7
5,2020,71.8,163.1
6,2020,195.6,165.6
7,2020,257.1,165.8
8,2020,327.8,165.4
9,2020,178.0,165.0
10,2020,78.3,163.7
11,2020,29.2,163.2
12,2020,17.0,162.2
1,2021,20.2,162.0
2,2021,7.6,161.7
3,2021,16.7,161.5
4,2021,31,162.0
5,2021,107.8,162.2
6,2021,182.4,161.7
7,2021,266.2,161.2
8,2021,196.3,161.8
9,2021,229.6,162.3
10,2021,100.8,162.8
11,2021,56.5,162.8
12,2021,20.5,162.6
1,2022,39.5,162.9
2,2022,19.1,161.7
3,2022,8.9,163.1
4,2022,38.2,164.4
5,2022,83.2,165.1
6,2022,152.2,165.5
7,2022,327.2,166.2
8,2022,264.0,168.8
9,2022,181.4,171.7
10,2022,111.8,173.6
11,2022,18.6,173.3
12,2022,13.6,173.7
